Name,Transliteral Name,Artist,Composition,Arrangement,Genre,BPM,Length,Beginner Rating,Beginner Note Count,Beginner Charge Notes,SPN Rating,SPN Note Count,SPN Charge Notes,SPN Backspin Scratches,SPN Hell Charge Notes,SPN Hell Backspin Scratches,SPH Rating,SPH Note Count,SPH Charge Notes,SPH Backspin Scratches,SPH Hell Charge Notes,SPH Hell Backspin Scratches,SPA Rating,SPA Note Count,SPA Charge Notes,SPA Backspin Scratches,SPA Hell Charge Notes,SPA Hell Backspin Scratches,SPL Rating,SPL Note Count,SPL Charge Notes,SPL Backspin Scratches,SPL Hell Charge Notes,SPL Hell Backspin Scratches,DPN Rating,DPN Note Count,DPN Charge Notes,DPN Backspin Scratches,DPN Hell Charge Notes,DPN Hell Backspin Scratches,DPH Rating,DPH Note Count,DPH Charge Notes,DPH Backspin Scratches,DPH Hell Charge Notes,DPH Hell Backspin Scratches,DPA Rating,DPA Note Count,DPA Charge Notes,DPA Backspin Scratches,DPA Hell Charge Notes,DPA Hell Backspin Scratches,DPL Rating,DPL Note Count,DPL Charge Notes,DPL Backspin Scratches,DPL Hell Charge Notes,DPL Hell Backspin Scratches,First Music Game Appearance,Other Music Game Appearances,Video Jockey,RemyWiki Link
梅雪夜,Umeyukiyo,Qrispy Joybox feat. mao,Qrispy Joybox,Qrispy Joybox,想歌 梅 (SOUKA UME),167,1:49,,,,5,445,,,,,7,759,,,,,10,1081,,,,,,,,,,,5,425,,,,,8,771,,,,,10,1108,,,,,,,,,,,REFLEC BEAT colette -Winter-,"beatmania IIDX 20 tricoro, BeatStream アニムトライヴ, jubeat plus / jubeat plus (Android) RUNRUNマラソン！ pack 1, jubeat saucer, jukebeat KONAMI music pack 52, pop'n music Sunny Park, REFLEC BEAT plus MUSIC PACK 35, REFLEC BEAT + KONAMI MUSIC PACK 28, ミライダガッキ FutureTomTom, ポップンリズミン REFLEC BEATパック1",F-FLY,https://remywiki.com/Umeyukiyo
24th Century BOY,24th Century BOY,Tatsh,Tatsh,Tatsh,EURO RAVE,168,2:01,,,,5,430,,,,,9,996,,,,,11,1456,,,,,,,,,,,5,507,,,,,9,1049,,,,,11,1398,,,,,,,,,,,beatmania IIDX 19 Lincle,,pam & Ta-k & Haruki Kato,https://remywiki.com/24th_Century_BOY
532nm,532nm,Ryu☆,Ryu☆,Ryu☆,HARDCORE,177,1:39,,,,3,288,,,,,7,640,,,,,11,1349,,,,,,,,,,,4,352,,,,,7,686,,,,,11,1310,,,,,,,,,,,beatmania IIDX 19 Lincle / jubeat copious APPEND,"jubeat plus copious pack 09, jubeat plus (Android) KONAMI music pack 22, jukebeat KONAMI music pack 18, pop'n music ラピストリア, REFLEC BEAT colette -Winter-, REFLEC BEAT plus MUSIC PACK 31, REFLEC BEAT + KONAMI MUSIC PACK 26",Stain,https://remywiki.com/532nm
Almace,Almace,Qrispy Joybox,Qrispy Joybox,Qrispy Joybox,TECHNO,172,1:46,,,,4,432,,3,,,8,660,24,4,,,10,1012,30,4,,,,,,,,,4,431,,,,,8,746,29,4,,,11,1153,35,4,,,,,,,,,beatmania IIDX 19 Lincle,,tef * tef,https://remywiki.com/Almace
ANAGRAMS I to Y,ANAGRAMS I to Y,Mayumi Morinaga,L.E.D.,L.E.D.,DANCE POP,165,2:20,,,,4,456,,,,,7,849,,,,,9,1245,,,,,,,,,,,4,437,,,,,8,863,,,,,9,1233,,,,,,,,,,,beatmania IIDX 19 Lincle,,Steins (overlays by HES),https://remywiki.com/ANAGRAMS_I_to_Y
BLACK.by X-Cross Fade,BLACK.by X-Cross Fade,DJ Mass MAD Izm*,DJ Mass MAD Izm*,DJ Mass MAD Izm*,TECH-BREAKBEATS,163,1:58,,,,6,518,,,,,10,1111,,,,,12,1738,,,,,,,,,,,6,547,,,,,10,1201,,,,,12,1761,,,,,,,,,,,beatmania IIDX 19 Lincle,,yama_ko,https://remywiki.com/BLACK.by_X-Cross_Fade
CALL,CALL,猫叉Master,Naoyuki Sato,Naoyuki Sato,WORLD/ELECTRONICA,158,2:03,,,,2,185,,,,,5,441,,,,,8,735,,,,,,,,,,,2,271,,,,,8,721,,,,,8,864,,,,,,,,,,,beatmania IIDX 19 Lincle,,"せきやすこ(onnacodomo), 野口路加(onnacodomo), DJ Codomo(onnacodomo)",https://remywiki.com/CALL
Castle on the Moon,Castle on the Moon,青龍,Seiryu,Seiryu,DANCE SPEED,191,1:38,1,121,,4,328,,,,,9,837,,,,,11,1231,,,,,,,,,,,4,329,,,,,9,818,,,,,11,1305,,,,,,,,,,,REFLEC BEAT limelight,"beatmania IIDX 19 Lincle, REFLEC BEAT plus MUSIC PACK 24, REFLEC BEAT + KONAMI MUSIC PACK 20",VJ GYO,https://remywiki.com/Castle_on_the_Moon
Change the World,Change the World,Tatsh feat.小田ユウ,Tatsh,Tatsh,SPEED POP,286,2:00,,,,5,412,,,,,7,714,,,,,9,931,,,,,,,,,,,6,549,,,,,9,913,,,,,11,1271,,,,,,,,,,,beatmania IIDX 19 Lincle,,Stain,https://remywiki.com/Change_the_World
DIAVOLO,DIAVOLO,度胸兄弟,"Niccolò Paganini, Franz Liszt, Sergei Rachmaninov","L.E.D., wac",TRANSCENDENTAL ETUDES,160,1:58,,,,6,657,,,,,9,974,,,,,12,1745,,,,,,,,,,,7,657,,,,,10,1209,,,,,12,1832,,,,,,,,,,,beatmania IIDX 19 Lincle,"jubeat saucer, jubeat plus / jubeat plus (Android) saucer pack 01, jukebeat KONAMI music pack 26, pop'n music ラピストリア",Steins (overlays by チャーム・シスターズ),https://remywiki.com/DIAVOLO
Drive Me Crazy,Drive Me Crazy,kors k feat.古川未鈴,kors k,kors k,AKIBA RAVE,180,1:58,,,,4,361,,,,,7,704,,,,,10,1157,,,,,,,,,,,4,360,,,,,7,687,,,,,10,1254,,,,,,,,,,,beatmania IIDX 19 Lincle,,Steins (overlays by かーる),https://remywiki.com/Drive_Me_Crazy
Express Emotion,Express Emotion,REDALiCE feat.Shihori,REDALiCE,REDALiCE,J-CORE,182,2:02,,,,4,385,,,,,6,521,,,,,10,1271,,,,,,,,,,,4,395,,,,,6,654,,,,,9,1248,,,,,,,,,,,beatmania IIDX 19 Lincle,"REFLEC BEAT limelight, REFLEC BEAT plus MUSIC PACK 26",Steins (overlays by GOLI),https://remywiki.com/Express_Emotion
F,F,D.J.Amuro,D.J.Amuro,D.J.Amuro,RENAISSANCE,154,1:55,,,,5,532,,,,,10,1099,,,,,12,1813,,,,,,,,,,,5,532,,,,,10,1258,24,,,,12,1760,,,,,,,,,,,beatmania IIDX 19 Lincle,,Minako Endo,https://remywiki.com/F
Far east nightbird,Far east nightbird,猫叉Master,Naoyuki Sato,Naoyuki Sato,DRUM'N'BASS (ドラムンベース),180,1:58,2,180,,3,264,,,,,7,682,,,,,9,1025,,,,,,,,,,,4,373,,,,,8,738,,,,,10,1126,,,,,,,,,,,jubeat knit,"beatmania IIDX 19 Lincle, DanceDanceRevolution A, jubeat plus music pack 03, jubeat plus (Android) KONAMI music pack 06, jukebeat KONAMI music pack 13, pop'n music Sunny Park, ミライダガッキ FutureTomTom, ノスタルジア Op.3, ポップンリズミン 猫叉Masterパック1",MatsuTK,https://remywiki.com/Far_east_nightbird
ƒƒƒƒƒ,Fffff,Five Hammer,Seiya Murai,Seiya Murai,HARD Pƒ (ハードPf),138,1:42,,,,4,431,,,,,10,1109,,,,,12,1624,,,,,,,,,,,5,611,,,,,10,1297,,,,,12,1703,,,,,,,,,,,pop'n music 13 カーニバル,"beatmania IIDX 15 DJ TROOPERS CS, beatmania IIDX 19 Lincle, HELLO! POP'N MUSIC, REFLEC BEAT groovin'!!, REFLEC BEAT plus MUSIC PACK 71, ポップンリズミン",MAYA,https://remywiki.com/Fffff
Flip Flap,Flip Flap,kors k,kors k,kors k,CANDY HANDZ UP,175,1:54,1,140,,3,294,,,,,7,706,,,,,10,1137,,,,,,,,,,,3,293,,1,,,7,662,,1,,,10,1004,,1,,,,,,,,,REFLEC BEAT limelight,"beatmania IIDX 19 Lincle, jubeat plus / jubeat plus (Android) saucer pack 15, jubeat saucer, jukebeat KONAMI music pack 39, REFLEC BEAT plus MUSIC PACK 11, REFLEC BEAT + KONAMI MUSIC PACK 18",Stain,https://remywiki.com/Flip_Flap
Follow Tomorrow,Follow Tomorrow,HHH×MM×ST,HHH×Starving Trancer,HHH×Starving Trancer,J-DANCE POP,140,1:53,,,,4,457,,,,,8,754,,,,,10,1142,,,,,,,,,,,4,490,,,,,8,819,,,,,10,1193,,,,,,,,,,,beatmania IIDX 19 Lincle,"DanceDanceRevolution (2014), DanceEvolution ARCADE, DANCERUSH STARDOM, jubeat plus / jubeat plus (Android) beatmania IIDX pack 2, jubeat saucer fulfill, jukebeat KONAMI music pack 58, ミライダガッキ FutureTomTom Ver.2",bobnob,https://remywiki.com/Follow_Tomorrow
HAERETICUS,HAERETICUS,D.J.Amuro Vs MAX MAXIMIZER,"D.J.Amuro, MAX MAXIMIZER","D.J.Amuro, MAX MAXIMIZER",ECCENTRIC,208,1:49,,,,5,440,,,,,10,1000,,,,,12,1589,,,,,,,,,,,5,458,,,,,10,1004,,,,,12,1535,,,,,,,,,,,beatmania IIDX 19 Lincle / REFLEC BEAT limelight,"REFLEC BEAT plus MUSIC PACK 46, REFLEC BEAT + KONAMI MUSIC PACK 30",MatsuTK,https://remywiki.com/HAERETICUS
Infinite cave,Infinite cave,猫叉Master+,Naoyuki Sato,Naoyuki Sato,DRUM'N'BASS,190,2:00,,,,6,529,,,,,9,786,,,,,10,1044,,,,,,,,,,,8,724,,,,,10,1137,,,,,12,1525,,,,,,,,,,,beatmania IIDX 13 DistorteD CS,beatmania IIDX 19 Lincle,kototoi,https://remywiki.com/Infinite_cave
I'm so Happy,I'm so Happy,Ryu☆,Ryu☆,Ryu☆,HAPPY HARDCORE (ハッピーハードコア),181,1:40,2,159,,3,211,,,,,8,709,,,,,11,1187,,,,,,,,,,,5,381,,,,,9,768,,,,,11,1205,,,,,,,,,,,jubeat knit,"beatmania IIDX 19 Lincle, DanceDanceRevolution X2, DanceEvolution ARCADE, jubeat plus music pack 25, jubeat plus (Android) KONAMI music pack 05, jukebeat KONAMI music pack 10, MÚSECA 1+1/2, pop'n music Sunny Park, REFLEC BEAT limelight, REFLEC BEAT plus jubeat PACK 02, REFLEC BEAT + KONAMI MUSIC PACK 17, SOUND VOLTEX II -infinite infection-, ミライダガッキ FutureTomTom, ポップンリズミン jubeatパック1",Steins,https://remywiki.com/I%27m_so_Happy
In the Blackest Den,In the Blackest Den,Bulluvegola,96,96,PROGRESSIVE ROCK,177,1:57,,,,5,449,,,,,8,831,,,,,11,1372,,,,,,,,,,,5,452,,,,,8,873,,,,,11,1457,,,,,,,,,,,beatmania IIDX 19 Lincle,,OTAS,https://remywiki.com/In_the_Blackest_Den
LAX5 feat.Ryota Yoshinari,LAX5 feat.Ryota Yoshinari,Katana Sounds,Katana Sounds,Katana Sounds,LOUD TECH,190,2:00,,,,6,540,,,,,9,1082,,,,,10,1427,,,,,,,,,,,6,612,,,,,9,1181,,,,,10,1544,,,,,,,,,,,beatmania IIDX 19 Lincle,,MatsuTK,https://remywiki.com/LAX5_feat.Ryota_Yoshinari
LETHEBOLG ～双神威に斬り咲けり～,LETHEBOLG ~Futatsukamui ni kiri sakeri~,TËЯRA,jun,NAOKI MAEDA,PLATINUM J-POP ONE,165,2:07,,,,5,518,,,,,8,826,,,,,10,1111,,,,,,,,,,,5,512,,,,,8,866,,,,,10,1115,,,,,,,,,,,beatmania IIDX 19 Lincle,,GOLI,https://remywiki.com/LETHEBOLG_~Futatsukamui_ni_kiri_sakeri~
Liquid Crystal Girl feat.echo,Liquid Crystal Girl feat.echo,kmp,Masayuki Kumahara,Masayuki Kumahara,ELECTRO,134,2:05,,,,2,209,,,,,6,562,,,,,9,1014,,,,,,,,,,,2,229,,,,,6,617,,,,,9,1202,,,,,,,,,,,beatmania IIDX 19 Lincle,,Steins,https://remywiki.com/Liquid_Crystal_Girl_feat.echo
LOVE B.B.B,LOVE B.B.B,SWAN K feat. Asuka M,Keiichi Ueno,Keiichi Ueno,DRUM'N'BASS,173,1:57,,,,4,394,,,,,8,772,,,,,10,1019,,,,,,,,,,,4,438,,,,,8,816,,,,,10,1181,,,,,,,,,,,beatmania IIDX 19 Lincle,,Stain,https://remywiki.com/LOVE_B.B.B
Lucky Days,Lucky Days,Sota Fujimori feat. Kanako Hoshino,Sota Fujimori,Sota Fujimori,DREAM TRANCE,160,2:05,,,,4,333,,,,,8,777,,,,,10,1111,,,,,,,,,,,4,333,,,,,8,777,,,,,10,1111,,,,,,,,,,,beatmania IIDX 19 Lincle,,MatsuTK,https://remywiki.com/Lucky_Days
Mermaid girl-秋葉工房 MIX-,Mermaid girl-Akiba koubou MIX-,Remixed by DJ Command,Ryu☆,DJ Command,EUROBEAT,150,2:11,,,,4,415,,,,,6,678,,,,,9,1030,,,,,,,,,,,4,427,,,,,7,704,,,,,9,1029,,,,,,,,,,,beatmania IIDX 19 Lincle,,Stain,https://remywiki.com/Mermaid_girl-Akiba_koubou_MIX-
Miami Sunset Drive,Miami Sunset Drive,Dirty Androids,Dirty Androids,Dirty Androids,80's ELECTRO HOUSE,131,2:08,,,,4,324,34,,,,6,548,43,,,,9,842,55,,,,,,,,,,4,331,35,,,,7,669,47,,,,10,995,55,,,,,,,,,,beatmania IIDX 19 Lincle,,Steins,https://remywiki.com/Miami_Sunset_Drive
NNRT,NNRT,Levaslater,Another Infinity,Another Infinity,ELECTRO GOTHIC,101-202,2:13,,,,6,632,,,,,10,1290,,,,,12,1780,,,,,,,,,,,6,654,,,,,10,1389,,,,,12,1957,,,,,,,,,,,beatmania IIDX 19 Lincle,,OTAS (overlays by HES),https://remywiki.com/NNRT
Phoenix,Phoenix,Hommarju,Hommarju,Hommarju,HARD NRG,176,1:55,,,,5,454,,,,,7,617,,,,,10,1258,,,,,,,,,,,5,527,,,,,8,793,,,,,11,1329,,,,,,,,,,,beatmania IIDX 19 Lincle,,MatsuTK,https://remywiki.com/Phoenix
prompt,Prompt,w×s ft.*spiLa*,"wac, Sota Fujimori","wac, Sota Fujimori",NU PROGESSIVE,198,2:06,,,,5,482,,,,,8,802,,,,,11,1420,,,,,,,,,,,5,530,,,,,8,1024,,,,,11,1502,,,,,,,,,,,beatmania IIDX 19 Lincle,,Stain,https://remywiki.com/Prompt
QUANTUM TELEPORTATION,QUANTUM TELEPORTATION,L.E.D.,L.E.D.,L.E.D.,TECHNO,152,2:10,,,,7,729,,,,,10,1216,,,,,11,1490,,,,,12,1845,,,,,7,729,,,,,10,1216,,,,,12,1999,,,,,12,1825,,,,,beatmania IIDX 13 DistorteD CS,beatmania IIDX 19 Lincle,Naoya Miyadai (D.B.D),https://remywiki.com/QUANTUM_TELEPORTATION
quaver♪,Quaver,Risk Junk,Risk Junk,Risk Junk,HAPPY (ハッピー),182-186,1:49,1,145,,4,357,,,,,9,1075,,,,,12,1745,,,,,,,,,,,4,340,,,,,9,1021,,,,,12,1874,,,,,,,,,,,REFLEC BEAT limelight,"beatmania IIDX 19 Lincle, BeatStream アニムトライヴ, jubeat saucer, jubeat plus / jubeat plus (Android) saucer pack 01, jukebeat KONAMI music pack 25, pop'n music Sunny Park, REFLEC BEAT plus MUSIC PACK 29, REFLEC BEAT + KONAMI MUSIC PACK 19, ポップンリズミン REFLEC BEATパック1",VJ GYO,https://remywiki.com/Quaver
Quick Silver,Quick Silver,Mystic Moon,Mystic Moon,Mystic Moon,RAVE FUSION,172,1:54,,,,5,404,6,2,,,9,941,9,2,,,11,1353,5,2,,,,,,,,,5,447,8,2,,,9,878,30,2,,,11,1438,8,2,,,,,,,,,beatmania IIDX 19 Lincle,,yama_ko,https://remywiki.com/Quick_Silver
Release The Music,Release The Music,kors k,kors k,kors k,TECH DANCE,146,2:03,,,,4,430,,,,,7,740,,,,,10,1081,,,,,,,,,,,4,420,,,,,7,771,,,,,10,1035,,,,,,,,,,,beatmania IIDX 19 Lincle,,Steins,https://remywiki.com/Release_The_Music
RESISTANCE,RESISTANCE,セリカ,MIKOTO,Yuji Hamasaki,MYSTERIOUS ROCK,184,2:00,,,,3,320,,,,,7,679,,,,,10,1198,,,,,,,,,,,3,353,,,,,7,707,,,,,10,1345,,,,,,,,,,,beatmania IIDX 19 Lincle,,F-FLY,https://remywiki.com/RESISTANCE
Round and Round,Round and Round,Masayoshi Minoshima feat. 綾倉盟,Masayoshi Minoshima,Masayoshi Minoshima,HYPER ELECTRO,145,2:05,,,,4,403,,,,,6,622,,,,,9,1088,,,,,,,,,,,3,435,,,,,6,760,,,,,10,1230,,,,,,,,,,,beatmania IIDX 19 Lincle,,Steins (overlays by GOLI),https://remywiki.com/Round_and_Round
SA.YO.NA.RA. SUPER STAR,SA.YO.NA.RA. SUPER STAR,SUPER STAR 満 -MITSURU-,SUPER STAR -MITSURU-,SUPER STAR -MITSURU-,ONLY ONE FINALE,85-170,1:55,,,,4,248,,2,,,8,656,,2,,,10,868,,2,,,,,,,,,5,402,,2,,,9,754,,2,,,11,1192,,2,,,,,,,,,beatmania IIDX 19 Lincle,,なかのりょうすけ,https://remywiki.com/SA.YO.NA.RA._SUPER_STAR
Scharfrichter,Scharfrichter,Ashemu,Asaki,Asaki,HARD ROCK,217,2:05,,,,5,449,36,1,,,9,822,37,1,,,11,1472,46,1,,,,,,,,,6,522,36,1,,,9,974,46,1,,,11,1552,46,1,,,,,,,,,beatmania IIDX 19 Lincle,,OTAS (anime by VJ GYO),https://remywiki.com/Scharfrichter
Several Words,Several Words,CAPACITY GATE,CAPACITY GATE,CAPACITY GATE,VALIANT BEAT,180,1:52,,,,4,321,21,,,,8,729,24,,,,10,1098,29,,,,,,,,,,4,336,22,,,,8,724,30,,,,10,1108,49,,,,,,,,,,beatmania IIDX 19 Lincle,,XTC (overlays by square_head),https://remywiki.com/Several_Words
SHADE,SHADE,DJ MURASAME vs dj Killer,"DJ MURASAME, dj Killer","DJ MURASAME, dj Killer",TECHNO,151,"1:53 (NORMAL), 1:58 (HYPER), 2:02 (ANOTHER)",,,,5,551,,,,,9,1048,,,,,11,1464,,,,,,,,,,,5,609,,,,,10,1100,,,,,11,1372,,,,,,,,,,,beatmania IIDX 19 Lincle,,MatsuTK (overlays by square_head),https://remywiki.com/SHADE
Snake Stick,Snake Stick,DJ Yoshitaka VS. DJ Mass MAD Izm*,"DJ Yoshitaka, DJ Mass MAD Izm*","DJ Yoshitaka, DJ Mass MAD Izm*",TECH-BREAKBEATS,145,1:56,,,,6,535,,,,,10,1067,,,,,12,1447,,,,,,,,,,,6,560,,,,,10,1108,,,,,12,1418,,,,,,,,,,,beatmania IIDX 19 Lincle,"REFLEC BEAT colette -Winter-, REFLEC BEAT plus MUSIC PACK 32, REFLEC BEAT + KONAMI MUSIC PACK 28",Steins,https://remywiki.com/Snake_Stick
Snow Goose,Snow Goose,Mutsuhiko Izumi,Mutsuhiko Izumi,Mutsuhiko Izumi,ELECTRIC POMP,200,1:41,2,151,,3,188,,,,,8,691,,,,,11,1238,,,,,,,,,,,4,239,,,,,9,1017,,,,,11,1394,,,,,,,,,,,jubeat,"beatmania IIDX 19 Lincle, jubeat plus, jubeat plus (Android) KONAMI music pack 13, jukebeat KONAMI music pack 12",Steins,https://remywiki.com/Snow_Goose
Star Trail,Star Trail,Nhato,Nhato,Nhato,TRANCE,148,2:00,,,,4,325,,,,,7,612,,,,,10,942,,,,,,,,,,,4,376,,,,,7,726,,,,,10,1177,,,,,,,,,,,beatmania IIDX 19 Lincle,DanceDanceRevolution A,alo,https://remywiki.com/Star_Trail
The Limbo,The Limbo,STN,Tatsh,Tatsh,CYBER PUNK,200,2:04,,,,6,603,,,,,10,1042,,,,,12,1701,,,,,,,,,,,6,626,,,,,10,1192,,,,,12,1618,,,,,,,,,,,beatmania IIDX 19 Lincle,,OTAS (overlays by GOLI),https://remywiki.com/The_Limbo
The Sampling Paradise,The Sampling Paradise,Mamonis,kors k,kors k,HARD TRANCE,150,1:58,,,,5,438,,1,,,9,940,1,2,,,12,1545,1,4,,,,,,,,,5,451,,1,,,10,1191,1,4,,,12,1646,1,3,,,,,,,,,beatmania IIDX 19 Lincle,"REFLEC BEAT limelight, REFLEC BEAT plus MUSIC PACK 46, REFLEC BEAT + KONAMI MUSIC PACK 33",OTAS (overlays by Fukutomi WAVE),https://remywiki.com/The_Sampling_Paradise
Thunderbolt,Thunderbolt,雷龍,Rairyu,Rairyu,RAVERS DANCE SPEED,188,2:05,,,,5,527,,,,,9,975,,,,,12,1911,,,,,,,,,,,5,534,,,,,9,1034,,,,,11,1677,,,,,,,,,,,beatmania IIDX 19 Lincle,"beatmania IIDX 18 Resort Anthem, REFLEC BEAT, REFLEC BEAT plus MUSIC PACK 13, REFLEC BEAT + KONAMI MUSIC PACK 15, ポップンリズミン 青龍パック",MatsuTK (overlays by GOLI),https://remywiki.com/Thunderbolt
TITANS RETURN,TITANS RETURN,L.E.D.,L.E.D.,L.E.D.,DRUMSTEP,"194 (NORMAL/HYPER/ANOTHER), 97-194 (LEGGENDARIA)",1:47,2,164,,4,318,,,,,8,802,,,,,11,1275,,,,,,,,,,,4,319,,,,,8,798,,,,,11,1265,,,,,,,,,,,REFLEC BEAT limelight,"beatmania IIDX 19 Lincle, REFLEC BEAT plus MUSIC PACK 28, REFLEC BEAT + KONAMI MUSIC PACK 16",MatsuTK,https://remywiki.com/TITANS_RETURN
Todestrieb,Todestrieb,Rche,Tomosuke,Tomosuke,SACRED TRANCE,185,2:09,,,,5,565,16,,,,9,979,16,,,,12,1733,45,,,,,,,,,,5,541,16,,,,9,1079,20,,,,12,1960,43,,,,,,,,,,beatmania IIDX 19 Lincle,REFLEC BEAT groovin'!! Upper,OTAS (overlays by NAGI),https://remywiki.com/Todestrieb
Voxane,Voxane,Remo-con,Tetsuya Tamura,Tetsuya Tamura,TECH DANCE,140,1:53,,,,3,312,,,,,7,628,,,,,9,881,,,,,,,,,,,3,315,,,,,7,642,,,,,9,1013,,,,,,,,,,,beatmania IIDX 19 Lincle,,Steins,https://remywiki.com/Voxane
WONDER WALKER,WONDER WALKER,L.E.D.,L.E.D.,L.E.D.,HARD TRANCE,165,2:07,,,,5,496,,,,,9,990,,,,,12,1921,,,,,,,,,,,5,498,,,,,9,1020,,,,,12,1916,,,,,,,,,,,beatmania IIDX 19 Lincle / jubeat copious,"jubeat plus copious pack 04, jubeat plus (Android) KONAMI music pack 23, jukebeat KONAMI music pack 17, REFLEC BEAT colette -Winter-, REFLEC BEAT plus MUSIC PACK 39, REFLEC BEAT + KONAMI MUSIC PACK 31",Stain,https://remywiki.com/WONDER_WALKER
YAKSHA,YAKSHA,Neulakyussra,L.E.D.-G,L.E.D.-G,TERROR CORE,190,2:13,,,,6,634,,,,,10,1215,,,,,12,2000,,,,,,,,,,,6,647,,,,,11,1391,,,,,12,2033,,,,,,,,,,,beatmania IIDX 19 Lincle,,OTAS (overlays by GOLI),https://remywiki.com/YAKSHA
yellow head joe,Yellow head joe,S-C-U,S-C-U,S-C-U,TEK-TRANCE (テックトランス),187,1:37,,,,4,401,,,,,8,778,,,,,10,1152,,,,,,,,,,,4,424,,,,,9,893,,,,,12,1438,,,,,,,,,,,beatmania IIDX 19 Lincle / jubeat copious,"jubeat plus copious pack 04, jubeat plus (Android) KONAMI music pack 09, jukebeat KONAMI music pack 17, pop'n music Sunny Park",Stain,https://remywiki.com/Yellow_head_joe
Yellow Sunrise,Yellow Sunrise,xac,xac,xac,DRUM'N'BASS,174,2:03,,,,4,383,,,,,7,726,,,,,10,1145,,,,,,,,,,,4,437,,,,,8,878,,,,,11,1493,,,,,,,,,,,beatmania IIDX 19 Lincle,,Minako Endo,https://remywiki.com/Yellow_Sunrise
ビューティフル レシート,Beautiful receipt,Lucky Vacuum,Lucky Vacuum,Lucky Vacuum,HAPPY HARDCORE,196,1:48,1,171,,3,259,,,,,8,621,,,,,10,978,,,,,,,,,,,4,311,,,,,9,814,,,,,11,1151,,,,,,,,,,,DanceDanceRevolution X3 VS 2ndMIX / REFLEC BEAT limelight,"beatmania IIDX 19 Lincle, jubeat plus / jubeat plus (Android) REFLEC BEAT pack 2, REFLEC BEAT plus MUSIC PACK 18, ミライダガッキ FutureTomTom Ver.2",Stain,https://remywiki.com/Beautiful_receipt
蛇神,Kagachi,Zektbach,Zektbach,Zektbach,ORIENTAL MYTHOLOGY (オリエンタルミソロジー),170,2:05,2,212,,4,368,33,,,,8,773,38,,,,11,1438,40,,,,,,,,,,4,419,38,,,,8,922,50,,,,11,1473,66,,,,,,,,,,pop'n music 18 せんごく列伝,"beatmania IIDX 19 Lincle, BeatStream, REFLEC BEAT colette -Winter-, REFLEC BEAT plus MUSIC PACK 32, SOUND VOLTEX VIVID WAVE, ポップンリズミン Zektbachパック1",MAYA,https://remywiki.com/Kagachi
陽炎,Kagerou (Kanako Hoshino),星野奏子,Kanako Hoshino,ikutaMachine,POP,140,1:45,,,,3,317,,,,,6,606,,,,,9,1010,,,,,,,,,,,3,315,,,,,6,602,,,,,10,1079,,,,,,,,,,,beatmania IIDX 19 Lincle / jubeat copious,"jubeat plus copious pack 01, jubeat plus (Android) KONAMI music pack 07, jukebeat KONAMI music pack 20",Steins (overlays by square_head),https://remywiki.com/Kagerou_(Kanako_Hoshino)
君のハートにロックオン,Kimi no heart ni lock-on,Dr.Honda,Dr.Honda,Dr.Honda,トレンディーフュージョン (TRENDY FUSION),260,2:08,,,,4,359,,,,,9,904,,,,,11,1363,,,,,,,,,,,4,367,,,,,8,902,,,,,12,1837,,,,,,,,,,,beatmania IIDX 19 Lincle,,Ohashi Takashi,https://remywiki.com/Kimi_no_heart_ni_lock-on
子供の落書き帳,Kodomo no rakugaki chou,佐々木博史,"Hirofumi Sasaki, J.S.Bach",Hirofumi Sasaki,PROGRESSIVE,280,1:36,,,,6,471,,,,,10,1018,,,,,12,1395,,,,,,,,,,,7,561,,,,,10,941,,,,,12,1254,,,,,,,,,,,GUITARFREAKS 6thMIX & drummania 5thMIX,"beatmania IIDX 15 DJ TROOPERS CS, beatmania IIDX 19 Lincle, GITADORA (Mobile), GuitarFreaksXG & DrumManiaXG, pop'n music 10 (ee'MALL 2nd avenue)",亥,https://remywiki.com/Kodomo_no_rakugaki_chou
恋する☆宇宙戦争っ!!,Koisuru uchuu sensou!!,Prim,Toshiyuki Kakuta,Toshiyuki Kakuta,Hi-BLEEP (ハイブリープ),200,2:08,2,257,,5,455,,,,,8,883,,,,,12,1835,,,,,,,,,,,4,455,,,,,8,840,,,,,12,1858,,,,,,,,,,,beatmania IIDX 19 Lincle,"BeatStream, DanceDanceRevolution A, jubeat plus / jubeat plus (Android) beatmania IIDX pack 3, jubeat saucer, jukebeat KONAMI music pack 63, pop'n music Sunny Park, REFLEC BEAT limelight, REFLEC BEAT plus MUSIC PACK 23, ミライダガッキ FutureTomTom, ポップンリズミン beatmaniaIIDXパック1",Steins (overlays by GOLI),https://remywiki.com/Koisuru_uchuu_sensou!!
聖人の塔,Seijin no tou,Beridzebeth,PRASTIK DANCEFLOOR,PRASTIK DANCEFLOOR,BATTLE TRACK,97-194,2:01,,,,6,489,,,,,10,1076,,,,,12,1567,,,,,,,,,,,6,530,,,,,10,1139,,,,,12,1997,,,,,,,,,,,beatmania IIDX 19 Lincle,,OTAS (overlays by HES),https://remywiki.com/Seijin_no_tou
衰色小町メランコリア,Suishoku komachi melancholia,iNO,96,96,NEO CLASSICAL DANCE,139,1:55,,,,4,401,,,,,7,711,,,,,10,1192,,,,,,,,,,,4,395,,,,,7,744,,,,,10,1163,,,,,,,,,,,beatmania IIDX 19 Lincle,,F-FLY (overlays by VJ GYO),https://remywiki.com/Suishoku_komachi_melancholia
